codigo;produto;quantidade;preco;localizacao
ABC1234;Smartphone Galaxy S23;10;1200.00;São Paulo
DEF5678;Notebook Dell XPS 13;5;1500.00;Rio de Janeiro
GHI9012;Smartwatch Apple Watch Series 8;20;400.00;Belo Horizonte
JKL3456;Tablet iPad Pro 12.9;8;1000.00;Porto Alegre
MNO7890;Fone de Ouvido Sony WH-1000XM5;15;350.00;Curitiba
PQR1234;Mouse Logitech MX Master 3S;25;80.00;Salvador
STU5678;Teclado Mecânico HyperX Alloy FPS Pro;12;120.00;Brasília
VWX9012;Monitor LG Ultrawide 34";7;600.00;Recife
YZA3456;Impressora HP LaserJet Pro M15w;18;200.00;Manaus
BCD7890;Câmera GoPro HERO11 Black;9;450.00;Belém
EFG1234;Roteador Wi-Fi 6 TP-Link Archer AX50;14;180.00;Goiânia
HIJ5678;SSD Externo Samsung T7 1TB;22;150.00;Fortaleza
KLM9012;Pen Drive SanDisk Ultra Dual Drive Luxe 256GB;30;50.00;Vitória
NOP3456;Caixa de Som Bluetooth JBL Flip 6;11;100.00;Florianópolis
QRS7890;Webcam Logitech C920s Pro HD;16;90.00;João Pessoa
TUV1234;Headset Gamer Razer BlackShark V2 X;19;70.00;Natal
WXY5678;Controle Xbox Wireless;13;60.00;Aracaju
ZAB9012;Carregador Portátil Anker PowerCore 20000mAh;21;40.00;Campo Grande
CDE3456;Leitor de Livros Digitais Kindle Paperwhite;23;130.00;Cuiabá
FGH7890;Chromecast com Google TV;17;80.00;Teresina
ABC1234;Smartphone Galaxy S23;11;1200.00;Rio de Janeiro
DEF5678;Notebook Dell XPS 13;6;1500.00;Belo Horizonte
GHI9012;Smartwatch Apple Watch Series 8;21;400.00;Porto Alegre
JKL3456;Tablet iPad Pro 12.9;9;1000.00;Curitiba
MNO7890;Fone de Ouvido Sony WH-1000XM5;16;350.00;Salvador
PQR1234;Mouse Logitech MX Master 3S;26;80.00;Brasília
STU5678;Teclado Mecânico HyperX Alloy FPS Pro;13;120.00;Recife
VWX9012;Monitor LG Ultrawide 34";8;600.00;Manaus
YZA3456;Impressora HP LaserJet Pro M15w;19;200.00;Belém
BCD7890;Câmera GoPro HERO11 Black;10;450.00;Goiânia
EFG1234;Roteador Wi-Fi 6 TP-Link Archer AX50;15;180.00;Fortaleza
HIJ5678;SSD Externo Samsung T7 1TB;23;150.00;Vitória
KLM9012;Pen Drive SanDisk Ultra Dual Drive Luxe 256GB;31;50.00;Florianópolis
NOP3456;Caixa de Som Bluetooth JBL Flip 6;12;100.00;João Pessoa
QRS7890;Webcam Logitech C920s Pro HD;17;90.00;Natal
TUV1234;Headset Gamer Razer BlackShark V2 X;20;70.00;Aracaju
WXY5678;Controle Xbox Wireless;14;60.00;Campo Grande
ZAB9012;Carregador Portátil Anker PowerCore 20000mAh;22;40.00;Cuiabá
CDE3456;Leitor de Livros Digitais Kindle Paperwhite;24;130.00;Teresina
FGH7890;Chromecast com Google TV;18;80.00;São Paulo
ABC1234;Smartphone Galaxy S23;12;1200.00;Curitiba
DEF5678;Notebook Dell XPS 13;7;1500.00;Salvador
GHI9012;Smartwatch Apple Watch Series 8;22;400.00;Brasília
JKL3456;Tablet iPad Pro 12.9;10;1000.00;Recife
MNO7890;Fone de Ouvido Sony WH-1000XM5;17;350.00;Manaus
PQR1234;Mouse Logitech MX Master 3S;27;80.00;Belém
STU5678;Teclado Mecânico HyperX Alloy FPS Pro;14;120.00;Goiânia
VWX9012;Monitor LG Ultrawide 34";9;600.00;Fortaleza
YZA3456;Impressora HP LaserJet Pro M15w;20;200.00;Vitória
BCD7890;Câmera GoPro HERO11 Black;11;450.00;Florianópolis
EFG1234;Roteador Wi-Fi 6 TP-Link Archer AX50;16;180.00;João Pessoa
HIJ5678;SSD Externo Samsung T7 1TB;24;150.00;Natal
KLM9012;Pen Drive SanDisk Ultra Dual Drive Luxe 256GB;32;50.00;Aracaju
NOP3456;Caixa de Som Bluetooth JBL Flip 6;13;100.00;Campo Grande
QRS7890;Webcam Logitech C920s Pro HD;18;90.00;Cuiabá
TUV1234;Headset Gamer Razer BlackShark V2 X;21;70.00;Teresina
WXY5678;Controle Xbox Wireless;15;60.00;São Paulo
ZAB9012;Carregador Portátil Anker PowerCore 20000mAh;23;40.00;Curitiba
CDE3456;Leitor de Livros Digitais Kindle Paperwhite;25;130.00;Salvador
FGH7890;Chromecast com Google TV;19;80.00;Brasília
ABC1234;Smartphone Galaxy S23;13;1200.00;Recife
DEF5678;Notebook Dell XPS 13;8;1500.00;Manaus
GHI9012;Smartwatch Apple Watch Series 8;23;400.00;Belém
JKL3456;Tablet iPad Pro 12.9;11;1000.00;Goiânia
MNO7890;Fone de Ouvido Sony WH-1000XM5;18;350.00;Fortaleza
PQR1234;Mouse Logitech MX Master 3S;28;80.00;Vitória
STU5678;Teclado Mecânico HyperX Alloy FPS Pro;15;120.00;Florianópolis
VWX9012;Monitor LG Ultrawide 34";10;600.00;João Pessoa
YZA3456;Impressora HP LaserJet Pro M15w;21;200.00;Natal
BCD7890;Câmera GoPro HERO11 Black;12;450.00;Aracaju
EFG1234;Roteador Wi-Fi 6 TP-Link Archer AX50;17;180.00;Campo Grande
HIJ5678;SSD Externo Samsung T7 1TB;25;150.00;Cuiabá
KLM9012;Pen Drive SanDisk Ultra Dual Drive Luxe 256GB;33;50.00;Teresina
NOP3456;Caixa de Som Bluetooth JBL Flip 6;14;100.00;São Paulo
